Timestamp,Username,School name,Grades served,School ID number,School address,Lat,Long,School start time,School end time,School phone number,School fax number,School email,School website link,Neighborhood,Principal,School tours,Uniforms and dress code,Pre-Kindergarten,Transitional Kindergarten (TK),Before school programs,Does your before school program offer:,Afterschool programs,Does your afterschool program offer:,Multilingual Pathways,Special education classes,Student support programs,Arts enrichment,Academic enrichment,Middle school feeder
5/24/16 9:55,johnr@sfusd.edu,Commodore Sloat Elementary School,K-5,488,"50 Darien Way, San Francisco, 94127",37.731818,-122.470931,8:40 am M-F,2:40 pm M-F,415 759 2807,415 759 2843,sch488@sfusd.edu,www.commodoresloat.com,Balboa Terrace,Greg John,9 am Tuesdays from October to January ,.,Not available at this school,Not available at this school,YMCA,"Child care, Safety patrol, Physical activities or recess",ExCEL program,"Child care, Safety patrol, Reading support, Tutoring services, Academic chess, Writing, Drama, Music, Visual arts, Gardening, Sports, Physical activities or recess",,"Mild/moderate, Mild/moderate (autism focus), Moderate/severe","Mentoring, Tutoring, Reading enrichment, English literacy support, English learner support, Counselor or therapist, Speech therapist, Social worker, Psychologist, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Choir, Theater, Dance, Writing or poetry, Visual arts, Gardening","Homework help, Tutoring, Writer's workshop, Literature support, English language development, Project-based learning, Library, Computer lab",Aptos
5/24/16 11:21,quadrosm@sfusd.edu,Sutro Elementary,K-5,848,235 12th Ave.,37.783791,-122.471394,8:40 am M-F,2:40 pm M-F,415-750-8525,415-750-8498,,http://www.sutroelementary.com/,Inner Richmond,Myra Quadros,Tours will begin in October. Visit our website for dates.,,Not available at this school,Not available at this school,Doors open at 7:45am with school staff,Child care,"ExCEL program, SFUSD Early Education Program","Child care, Tutoring services, Computer coding, Cooking, Physical activities or recess",Cantonese Biliteracy Pathway,Mild/moderate,"English literacy support, Speech therapist, Social worker, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST)","Arts residency, Visual arts, Gardening","Literature support, English language development, Library, Computer lab",Roosevelt
5/25/16 14:52,grafft@sfusd.edu,Claire Lilienthal K-8 ,K-8,479,"Madison - 3950 Sacramento St. San Francisco, CA 94118; Scott - 3630 Divisadero St. San Francisco, CA 94123",37.787349,-122.457988,7:45 am M-F,1:45 pm M-F,Madison -- 415-750-8603  ,Madison -- 415-750-8606 ,sch479@sfusd.edu ,http://www.clairelilienthal.org/,Madison -- Presidio Heights  Scott -- Marina ,Tyler Graff,TBD,,Not available at this school,Not available at this school,,,"ExCEL program, Claire Lilienthal After School Program (Madison Site)",,Korean Dual Language Immersion,"Mild/moderate, Deaf/hearing impairment","English literacy support, Counselor or therapist, Speech therapist, Social worker, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Theater, Visual arts, Gardening","Homework help, Writer's workshop, Project-based learning, Library, Computer lab",
5/27/16 15:56,hoshinov@sfusd.edu,George Moscone Elementary School,PreK-5,723,"2576 Harrison St., San Francisco, CA 94110",37.756739,-122.412705,7:50 am M-F,1:50 pm M-F,415-695-5736,415-695-5341,sch723@sfusd.edu,moscone-sfusd-ca.schoolloop.com,Mission,Valerie Hoshino,8:15 am Wednesdays,"White collared shirt, navy blue pants, skirt or jumper. Closed toe shoes. ",Available onsite,Not available at this school,,"Reading support, Tutoring, Physical activities or recess, Dance, Art, Instrumental Music, Garden/Education Outdoors, Playworks, Library","ExCEL program, SFUSD Early Education Program","Child care, Reading support, Tutoring services, Math enrichment, Music, Dance, Cooking, Physical activities or recess, Enrichment activities","Cantonese Biliteracy Pathway, Spanish Biliteracy Pathway",,"Tutoring, Reading enrichment, English literacy support, English learner support, Spanish literacy support, Counselor or therapist, Speech therapist, Family liaison, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Jazz, Writing or poetry, Visual arts, Gardening","Homework help, Tutoring, Writer's workshop, Literature support, English language development, Spanish language development, Library, Computer lab, Mission Science Workshop program, Outdoor Education",Hoover Middle School
5/27/16 17:21,callejasm@sfusd.edu,Spring Valley Science Elementary School,K-5,834,1451 Jackson St.,37.794327,-122.418876,8:40 am M-F,2:30 pm daily for Kindergarten; 2:40 pm daily for grades 1-5,415-749-3535,415-749-3555,sch834@sfusd.edu,,Nob Hill,Marlene Callejas,9 am Wednesdays from November to January,,Not available at this school,Not available at this school,,"Child care, Reading support, Physical activities or recess","ExCEL program, SFUSD Out of School Time","Child care, Math enrichment, Writing, Gardening, Cooking, Physical activities or recess, Homework support","Cantonese Biliteracy Pathway, Spanish Biliteracy Pathway",Mild/moderate,"English literacy support, English learner support, Spanish literacy support, Speech therapist, Social worker, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Dance, Visual arts, Gardening","Homework help, Writer's workshop, English language development, Spanish language development, Library, Computer lab, STEAM (science, technology, engineering, arts, mathematics), Mission Science Workshop program, Edventure More",Marina Middle School
5/29/16 18:21,molofd@sfusd.edu,Mission Education Center ES,K-5,724,"1670 Noe St., San Francisco, CA 94131",37.742444,-122.431449,9:30 am M-F,3:30 pm M-F,415-695-5313,415-695-5339,,,Noe Valley,Carla Llewelyn-Vasquez,Call to schedule an appointment.,", SFUSD dress/appearance standards",Not available at this school,Not available at this school,,,ExCEL program,"Spanish language program, Reading support, Tutoring services, Math enrichment, Writing, Drama, Music, Dance, Visual arts, Gardening, Cooking, Sports, Physical activities or recess",Spanish Newcomer Pathway,RSP-Mild/Moderate,"Mentoring, Tutoring, Reading enrichment, English learner support, Spanish literacy support, Speech therapist, Family liaison, Social worker, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST)","Arts residency, Choir, Performing arts, Dance, Writing or poetry, Visual arts, Cooking, Drumming, Gardening, Marachi Program, SF Ballet","English language development, Spanish language development, Library, Mission Science Workshop program, NatureBridge Institute, Systematic ELD, Outside Education",Lick Middle School
5/30/16 20:48,robertsonj1@sfusd.edu,Glen Park,K-5,575,151 Lippard Ave.,37.733362,-122.435643,8:40 am M-F ,2:40 pm M-F,415-469-4713,(415) 337-6942,sch575@sfusd.edu,www.glenparkschool.org,Glen Park,Jean C. Robertson,Tuesdays from October to January,,Not available at this school,Not available at this school,,,ExCEL program,"Child care, Drama, Music, Dance, Photography, Visual arts, Gardening, Cooking, Sports, Physical activities or recess, STEAM ",Spanish Biliteracy Pathway,"Moderate/severe (autism focus), RSP","Mentoring, Tutoring, English literacy support, Spanish literacy support, Counselor or therapist, Speech therapist, Social worker, Psychologist, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Dance, Visual arts, Gardening, Music","Writer's workshop, English language development, Spanish language development, Library, STEAM (science, technology, engineering, arts, mathematics)",James Lick Middle School
5/31/16 13:36,corderos@sfusd.edu,El Dorado Elementary,K-5,521,70 Delta St.,37.71863,-122.407613,7:50 am M-F,"1:50 pm M, T, W, F; 12:50 pm TH",415-330-1537,415-467-2435,,eldoradoelementarysf.com,Visitacion Valley,Ms. Silvia Cordero,9 am Wednesdays from October to January,,Not available at this school,Not available at this school,,,ExCEL program,"Reading support, Tutoring services, Math enrichment, Computer coding, Writing, Dance, Visual arts, Gardening, Sports, Physical activities or recess",,Mild/moderate,"Mentoring, Tutoring, English literacy support, Counselor or therapist, Speech therapist, Elementary advisor, Family liaison, Social worker, Psychologist, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Playworks, Americorps Worker, Wellness Center, Assistant Principal","Performing arts, Dance","Writer's workshop, Literature support, English language development, Library, Excelsior Science Workshop program",Visitacion Valley Middle School
6/3/16 9:41,changm@sfusd.edu,Dianne Feinstein Elementary School,K-5,539,2550 25th Ave.,37.739928,-122.481591,7:50 am M-F,1:50 pm M-F,415-615-8460,415-242-2532,sch539@sfusd.edu,https://dfes-sfusd-ca.schoolloop.com/,Sunset- Parkside,Michelle Chang,10:30 am Tuesdays from November to January,,Not available at this school,Not available at this school,,,GLO (Growth and Learning Opportunities),"Mandarin language program, Russian language program, Child care, Academic chess, Gardening, Sports, Physical activities or recess",,"SOAR (Success, Opportunity, Achievement, Resiliency)","Mentoring, Speech therapist, Social worker, Psychologist, On-site nurse, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Dance, Visual arts, Instrumental Music 4-5 Grades","Library, Computer lab, Education Outside Corps Member",Aptos Middle School
6/1/16 11:28,lau-yeed@sfusd.edu,Robert Louis Stevenson Elementary School,K-5,782,"2051 34th Ave., San Francisco, CA  94116",37.74905,-122.492221,8:40 am M-F,2:40 pm M-F,415-759-2837,415-759-2844,sch782@sfusd.edu,www.robertlouisstevensonschool.org,Sunset,Diane Lau-Yee,9 am Tuesdays Oct. to Jan.,,Not available at this school,Not available at this school,,,"ExCEL program, KEEP After school Program and Mandarin All Stars After School ","Mandarin language program, Reading support, Tutoring services, Math enrichment, Academic chess, Some programs are once a week, such as Academic Chess and Piano",,"Mild/moderate, TK Mild/Mod SDC","English literacy support, English learner support, Speech therapist, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Dance, Visual arts, Gardening, Instrumental Music","Homework help, Tutoring, Writer's workshop, English language development, Library, Computer lab, STEAM (science, technology, engineering, arts, mathematics)",AP Giannini
6/1/16 14:21,jordan-mccormicke@sfusd.edu,McKinley ES,K-5,718,"1025 14th St., San Francisco, CA 94114",37.767166,-122.436542,8 am M-F,2 pm M-F,415-241-6300,415-241-6548,sch718@sfusd.edu,mckinleyschool.org,Castro,Edith Jordan-McCormick,8:15-9:15 am Mondays and Thursdays October-January. Please register at McKinleyschool.org/contact-us (no phone messages please).,,Not available at this school,Not available at this school,,,ExCEL program,"Mandarin language program, Spanish language program, Reading support, Tutoring services, Academic chess, Dance, Visual arts, Cooking, Sports, Physical activities or recess, Lego Club, and other clubs",,,"Tutoring, Reading enrichment, English literacy support, Counselor or therapist, Speech therapist, Elementary advisor, Social worker, Psychologist, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Choir, Dance, Visual arts","Homework help, Tutoring, Writer's workshop, Literature support, English language development, Project-based learning, Library, Mission Science Workshop program",Everett Middle School
6/5/16 8:27,vancourtp@sfusd.edu,Clarendon Alternative,K-5,478,500 Clarendon Ave.,37.754026,-122.456091,9:25 am M-F,3:25 pm M-F,415-759-2796,415-759-2799,sch478@sfusd.edu,https://caes-sfusd-ca.schoolloop.com/,Twin Peaks,Peter Van Court,Call 415-759-2782 for tour Information and dates.,,Not available at this school,Not available at this school,Second Community Childcare,"Child care, Reading support, Tutoring, Physical activities or recess",Second Community Child Care,"Child care, Reading support, Tutoring services",Japanese FLES Pathway,"Mild/moderate, RSP General Education Program","Mentoring, Reading enrichment, English literacy support, English learner support, Counselor or therapist, Speech therapist, Elementary advisor, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Dance, Visual arts, Drumming, Gardening","Homework help, Writer's workshop, Literature support, English language development, Project-based learning, Library, Computer lab",Presidio
6/2/16 10:48,chewd@sfusd.edu,Gordon J. Lau Elementary,PreK-5,490,950 Clay St.,37.794185,-122.40946,8:40 am M-F,"2:45 M, W, TH, F; 2:15 pm T",415-291-7921,415-291-7952,Sch490@sfusd.edu,https://gjles-sfusd-ca.schoolloop.com,Chinatown,Dennis Chew,9 to 9:40 am Tuesdays or by appointment from Oct. to Jan.,"On Fridays, students are encouraged to wear school clothing.",Available onsite,Not available at this school,,,"ExCEL program, SFUSD Early Education Program","Child care, Reading support, Tutoring services, Math enrichment, Writing, Visual arts, Gardening, Cooking, Sports, Physical activities or recess",Cantonese Biliteracy Pathway,RSP,"Mentoring, Tutoring, English literacy support, Speech therapist, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Dance, Chinese Lion Dance","Homework help, Tutoring, Writer's workshop, Literature support, English language development, Library, Computer lab, Mission Science Workshop program",Marina Middle School
6/2/16 11:17,zapienr@sfusd.edu,Buena Vista Horace Mann,K-8,618,"3351 23rd St., San Francisco CA, 94110",37.753745,-122.420042,9:30 am grades K-5; 8:15 am grades 6-8,"3:45 pm M, T, W, F; 2:30 pm TH",415-695-5881,415-282-7869,,http://bvhm-sfusd-ca.schoolloop.com/,Mission,Richard Zapien,"8:30-10 am Fridays on 10/28, 11/4, 11/11, 11/18, 12/2, 12/9",,Not available at this school,Not available at this school,ExCEL program,"Reading support, Tutoring, Physical activities or recess, Arts Enrichments",ExCEL program,"Reading support, Tutoring services, Math enrichment, Academic chess, Writing, Music, Dance, Visual arts, Gardening, Cooking, Sports, Physical activities or recess",Spanish Dual Language Immersion,Mild/moderate,"Mentoring, Tutoring, Reading enrichment, English literacy support, English learner support, Spanish literacy support, Counselor or therapist, Speech therapist, Family liaison, Social worker, Psychologist, On-site nurse, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Student Mental Health ","Arts residency, Performing arts, Dance, Writing or poetry, Visual arts, Ceramics, Cooking, Gardening, Band and Mariachi","Tutoring, Writer's workshop, English language development, Spanish language development, Library, Computer lab, STEAM (science, technology, engineering, arts, mathematics), Mission Science Workshop program",
6/3/16 22:54,fongr@sfusd.edu,Alamo Elementary School,K-5,413,250 23rd Ave.,37.783344,-122.48218,8:40 am M-F,2:40 pm M-F,415-750-8456,415-750-8434,sch413@sfusd.edu,friendsofalamo.org,Richmond District,Rosa A. Fong,9 am Thursdays from October through the first week of January,,Not available at this school,Not available at this school,Morning Care from 7:45 am to 8:20 am,"Physical activities or recess, Wellness/Morning Care Program, Russian Morning Language M, W, F; Morning Chorus M, W, Fri","RDASC, Chinese (Cantonese/Mandarin) Program, Russian Language Program, Ceramics, Physical Education, Spanish classes","Cantonese language program, Chinese language program, Mandarin language program, Russian language program, Spanish language program, Tutoring services, Academic chess, Drama, Dance, Sports, Physical activities or recess, Keyboard Educators",,"Mild/moderate (autism focus), Moderate/severe (autism focus), RSP with Inclusive Practices","Tutoring, English literacy support, English learner support, Speech therapist, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Choir, Performing arts, Visual arts, Ceramics, Gardening, Drama","Homework help, Tutoring, English language development, Project-based learning, Library, Computer lab, STEAM (science, technology, engineering, arts, mathematics)",Presidio Middle School
6/7/16 11:53,velascoc@sfusd.edu,Bryant Elementary School,PreK-5,sch456@sfusd.edu,"2641 25th St., San Francisco, CA 94110",37.751866,-122.404863,7:30 am M-F,"2:05 pm M, T, W, F; 12:50 pm TH",415-695-5780,415-206-0538,,http://www.bryantes.com,Mission,Christina Velasco,9 am first Thursdays of the month from Oct. to Jan.,"White polo shirt, navy blue pants, skirt or jumper",Available onsite,Not available at this school,,,"ExCEL program, SFUSD Early Education Program, Mission Graduates is our ExCEL program provider","Reading support, Writing, Drama, Dance, Visual arts, Gardening, Cooking, Sports, Physical activities or recess, Scores!",Spanish Secondary Dual Language Pathway,"Mild/moderate, we are a full inclusion school.","Mentoring, Tutoring, English literacy support, English learner support, Spanish literacy support, Counselor or therapist, Speech therapist, Elementary advisor, Family liaison, Social worker, Psychologist, On-site nurse, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Kimochi SEL in PreK-2nd","Arts residency, Dance, Visual arts, Ceramics, Gardening, Mariachi program in 4th & 5th grades","Homework help, Library, Computer lab, Mission Science Workshop program, Streetside Stories, SPCA-puppy dog tales",Evertte
